n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
6,1.2,1.0,0.25,5,5,False,0.0,0.005,60,1.0348595481332472,0.982405831547133,0.994511894099928,0.9941736841418978
6,1.2,1.0,0.25,5,5,False,0.005,0.0,60,0.958299893855338,0.9941534597847148,0.9898288989655338,0.977579239134474
6,1.2,1.0,0.25,5,5,False,0.005,0.005,60,1.0316305966369126,1.0234571255106295,1.035148115806298,0.9890123088631476
6,1.5,1.0,0.15,5,5,False,0.0,0.0,60,1.0044635230626202,0.986920651217612,0.9820659077507478,0.9911509376572588
6,1.5,1.0,0.15,5,5,False,0.0,0.005,60,0.9643968166164594,1.005191226547128,0.9470805764468772,0.9581763876575125
6,1.5,1.0,0.15,5,5,False,0.005,0.0,60,0.950260801078864,0.9985286911402708,0.9951807986474056,0.9929266990271366
6,1.5,1.0,0.15,5,5,False,0.005,0.005,60,0.9810213630570208,0.9750580894883842,1.0127665894974491,0.987116789924019
6,1.5,1.0,0.2,5,5,False,0.0,0.0,60,0.9326432885218026,0.965825054987932,0.9680731645101536,0.9802941929248832
6,1.5,1.0,0.2,5,5,False,0.0,0.005,60,1.010518733458821,1.0171501579565203,1.0132929144583898,1.0023459921154152
6,1.5,1.0,0.2,5,5,False,0.005,0.0,60,0.9740474374123328,1.005948597494402,0.9721999592037868,0.9826174840070028
6,1.5,1.0,0.2,5,5,False,0.005,0.005,60,0.9887551911780692,1.00106894686274,1.0400780696574274,0.9925017280120778
6,1.5,1.0,0.25,5,5,False,0.0,0.0,60,0.9002511997462778,0.9525526934759192,0.9536430795286436,0.9920929869129168
6,1.5,1.0,0.25,5,5,False,0.0,0.005,60,1.0032568698229385,1.0205827550792674,1.0187718522059337,0.9992206803698588
6,1.5,1.0,0.25,5,5,False,0.005,0.0,60,1.00521300092428,0.9953431236709228,0.9739832781333206,0.990104331667396
6,1.5,1.0,0.25,5,5,False,0.005,0.005,60,1.0039248349573036,0.9922553160165172,0.9966053781964171,0.9890134478599272
8,0.8,1.0,0.15,5,5,False,0.0,0.0,80,0.9572484908385182,0.9572818010085098,0.9648109646961824,0.9815160601269336
8,0.8,1.0,0.15,5,5,False,0.0,0.005,80,1.0058745581963286,0.9894927262871456,0.9933223357748252,0.9987745411116056
8,0.8,1.0,0.15,5,5,False,0.005,0.0,80,0.977462310780412,0.9580920489968078,1.02173056105937,1.0008762842953114
8,0.8,1.0,0.15,5,5,False,0.005,0.005,80,1.025516217062988,1.010484647419306,0.9876497079094584,0.9719899606961272
8,0.8,1.0,0.2,5,5,False,0.0,0.0,80,0.9355129010260426,0.9593586329564804,0.9743744360658946,0.9982645309863988
8,0.8,1.0,0.2,5,5,False,0.0,0.005,80,1.0113692604054032,1.0103385454150118,0.9894191632463568,0.9814981120818522
8,0.8,1.0,0.2,5,5,False,0.005,0.0,80,0.999985338439622,0.9965792802363048,1.0037016788980695,1.000658644664715
8,0.8,1.0,0.2,5,5,False,0.005,0.005,80,1.0502010615818005,1.0115317962461263,1.0104227636839,0.9809025841078652
8,0.8,1.0,0.25,5,5,False,0.0,0.0,80,0.9659407257485272,0.9587249073731318,1.0194548411584703,0.9842854738665754
8,0.8,1.0,0.25,5,5,False,0.0,0.005,80,1.002191298533484,1.015139897472094,1.0055298149400822,1.002859866699653
