source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
350,ikeda_u0.703_s010,chaotic_map,forecast,2910,800,2,0.987254158089052,0.8746757217755363,0.9186626980627358,0.11257843631351572,0.06859146002631622,0.0439869762871995,0.0439869762871995,60,6,5,5,0
351,ikeda_u0.829_s011,chaotic_map,forecast,2911,800,1,0.7606114325450608,0.8279544314655458,0.8912650895661994,-0.06734299892048501,-0.13065365702113863,0.06331065810065362,0.06331065810065362,60,6,5,5,0
352,ikeda_u0.794_s012,chaotic_map,forecast,2912,800,2,0.8275299611826044,0.8897049355548889,0.8502151329496432,-0.062174974372284586,-0.02268517176703888,-0.039489802605245705,-0.039489802605245705,60,6,5,5,0
353,ikeda_u0.773_s013,chaotic_map,forecast,2913,800,2,0.8630553150950833,0.8842951985844141,0.86581241655587,-0.021239883489330813,-0.0027571014607867816,-0.01848278202854403,-0.01848278202854403,60,6,5,5,0
354,ikeda_u0.876_s014,chaotic_map,forecast,2914,800,1,0.928135043728174,0.9797222719510738,0.8855084669163011,-0.05158722822289974,0.042626576811872874,-0.09421380503477261,-0.09421380503477261,60,6,5,5,0
355,ikeda_u0.895_s015,chaotic_map,forecast,2915,800,1,0.9862994202103188,0.928530311324722,0.8910904466889701,0.05776910888559683,0.09520897352134872,-0.037439864635751885,-0.037439864635751885,60,6,5,5,0
356,ikeda_u0.848_s016,chaotic_map,forecast,2916,800,1,0.8441113214487622,0.8280635469160416,0.8227516565557733,0.01604777453272066,0.021359664892988905,-0.0053118903602682455,-0.0053118903602682455,60,6,5,5,0
357,ikeda_u0.833_s017,chaotic_map,forecast,2917,800,1,0.7801743149841784,0.8337261116036706,0.8789449528095283,-0.053551796619492165,-0.0987706378253499,0.04521884120585773,0.04521884120585773,60,6,5,5,0
358,ikeda_u0.780_s018,chaotic_map,forecast,2918,800,2,0.8607059135022695,0.8650927227382843,0.8231687442060742,-0.004386809236014755,0.03753716929619533,-0.04192397853221008,-0.04192397853221008,60,6,5,5,0
359,ikeda_u0.717_s019,chaotic_map,forecast,2919,800,2,0.9464755236434802,0.853556135766029,0.7939084209968195,0.09291938787745124,0.15256710264666073,-0.05964771476920949,-0.05964771476920949,60,6,5,5,0
360,tent_mu1.557_s000,chaotic_map,forecast,3000,800,3,0.8650741810649145,0.7167789227253735,0.5329620782434378,0.14829525833954105,0.33211210282147674,-0.1838168444819357,-0.1838168444819357,60,6,5,5,0
361,tent_mu1.958_s001,chaotic_map,forecast,3001,800,1,0.9634433964941288,0.6000807603320394,0.5908604612488664,0.3633626361620894,0.3725829352452624,-0.009220299083173011,-0.009220299083173011,60,6,5,5,0
362,tent_mu1.587_s002,chaotic_map,forecast,3002,800,3,0.9161245415693932,0.7323996155131198,0.5664452980864101,0.18372492605627333,0.34967924348298307,-0.16595431742670974,-0.16595431742670974,60,6,5,5,0
363,tent_mu1.796_s003,chaotic_map,forecast,3003,800,2,0.9824548947969284,0.6250291180357286,0.19200272864306078,0.3574257767611998,0.7904521661538676,-0.4330263893926678,-0.4330263893926678,60,6,5,5,0
364,tent_mu1.851_s004,chaotic_map,forecast,3004,800,2,0.9947166000270212,0.7109824962990935,0.32734961235851995,0.28373410372792773,0.6673669876685013,-0.38363288394057354,-0.38363288394057354,60,6,5,5,0
365,tent_mu1.906_s005,chaotic_map,forecast,3005,800,1,0.8641676842047542,0.45517986851149284,0.5549957627518685,0.40898781569326137,0.30917192145288575,0.09981589424037562,0.09981589424037562,60,6,5,5,0
