dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
rossler_c6.57_s014:1314:800,rossler_c6.57_s014,chaotic_flow,synthetic,forecast,1314,800,21,0.116129311642881,1.0101534011408304,-0.8940240894979493,baseline_preferred,-0.8940655275326367,baseline_preferred,0.0030700077870000736,-3.2880550327712856,-0.47925906093460535,4.143803468736884e-05,True
rossler_c4.51_s015:1315:800,rossler_c4.51_s015,chaotic_flow,synthetic,forecast,1315,800,21,0.0393626781163167,0.9736047202845048,-0.934242042168188,baseline_preferred,-0.9095290752391869,baseline_preferred,0.006176997644880424,-3.650484225642895,-0.6961717653739441,0.024712966929001046,True
rossler_c5.43_s016:1316:800,rossler_c5.43_s016,chaotic_flow,synthetic,forecast,1316,800,21,0.0336012731392423,1.1015920763368332,-1.0679908031975909,baseline_preferred,-0.9731725340105137,baseline_preferred,0.0025202423801354047,-3.286513099907023,-0.38380821547448923,0.09481826918707714,True
rossler_c7.34_s017:1317:800,rossler_c7.34_s017,chaotic_flow,synthetic,forecast,1317,800,22,0.0634018633651361,0.9708575926347952,-0.9074557292696592,baseline_preferred,-0.9109674085179436,baseline_preferred,0.0055776289308449144,-3.363830466564357,-0.38033409259254486,0.0035116792482843273,True
rossler_c7.08_s018:1318:800,rossler_c7.08_s018,chaotic_flow,synthetic,forecast,1318,800,21,0.0564326021929514,0.8893218983041441,-0.8328892961111927,baseline_preferred,-0.7687628771776648,baseline_preferred,0.005738093281004179,-3.077311443782623,-0.5591337842327698,0.06412641893352788,True
rossler_c4.43_s019:1319:800,rossler_c4.43_s019,chaotic_flow,synthetic,forecast,1319,800,21,0.0272166613930145,1.0049314065466035,-0.9777147451535892,baseline_preferred,-0.9765862440237512,baseline_preferred,0.004165106926420524,-3.5189814314170396,-0.5982109021617752,0.0011285011298380887,True
logistic_r3.7811_s000:1400:800,logistic_r3.7811_s000,chaotic_map,synthetic,forecast,1400,800,2,0.0320914976046363,0.850307744034143,-0.8182162464295066,baseline_preferred,-0.8124843727586568,baseline_preferred,0.002246264481909322,1.0789120050684704,1.2321075016995016,0.005731873670849819,True
logistic_r3.7298_s001:1401:800,logistic_r3.7298_s001,chaotic_map,synthetic,forecast,1401,800,4,0.4846435695869648,0.9886134750825682,-0.5039699054956035,baseline_preferred,-0.6391906097051104,baseline_preferred,0.0017305916669706394,0.9097126917872451,1.2104986740056811,0.13522070420950694,True
logistic_r3.9605_s002:1402:800,logistic_r3.9605_s002,chaotic_map,synthetic,forecast,1402,800,1,1.8410562405184233e-12,0.8963850793101223,-0.8963850793082813,baseline_preferred,-0.938952864008032,baseline_preferred,0.0016240950927162894,-2.2397868361513313,4.572097568567148,0.042567784699750755,True
logistic_r3.9984_s003:1403:800,logistic_r3.9984_s003,chaotic_map,synthetic,forecast,1403,800,1,0.0280575240833088,0.9264369740919006,-0.8983794500085918,baseline_preferred,-0.8821315480101113,baseline_preferred,0.0012969008048628234,1.5003525977560879,0.1989397716379759,0.016247901998480474,True
